index src_type src_gid src_vis_x src_vis_y presyn_type N_syn
24 transient_OFF 5343 105.894 68.293 LGN_exc 30
24 transient_OFF 5505 112.008 62.538 LGN_exc 30
24 transient_OFF 5673 110.395 71.112 LGN_exc 30
24 transient_OFF 5688 111.695 64.358 LGN_exc 30
24 transient_ON 276 118.450 59.221 LGN_exc 30
24 transient_ON 852 117.601 70.564 LGN_exc 30
24 transient_ON 1513 118.176 67.205 LGN_exc 30
24 transient_ON 1985 116.779 68.207 LGN_exc 30
24 transient_ON 2459 124.148 62.536 LGN_exc 30
24 transient_ON 2460 119.299 65.633 LGN_exc 30
24 transient_ON 2470 118.568 57.238 LGN_exc 30
24 transient_ON 2746 121.069 74.240 LGN_exc 30
25 transient_OFF 4117 136.698 77.573 LGN_exc 30
25 transient_OFF 4798 136.852 72.383 LGN_exc 30
25 transient_OFF 4878 134.081 62.288 LGN_exc 30
25 transient_OFF 4965 136.523 68.165 LGN_exc 30
25 transient_OFF 5073 134.106 66.560 LGN_exc 30
25 transient_OFF 5337 135.098 79.429 LGN_exc 30
25 transient_OFF 5531 133.175 65.402 LGN_exc 30
25 transient_OFF 5941 136.067 75.442 LGN_exc 30
25 transient_ON 72 142.230 68.791 LGN_exc 30
25 transient_ON 126 142.685 77.563 LGN_exc 30
25 transient_ON 233 144.791 70.855 LGN_exc 30
25 transient_ON 730 142.282 65.439 LGN_exc 30
25 transient_ON 765 145.141 64.780 LGN_exc 30
25 transient_ON 1735 143.562 78.093 LGN_exc 30
25 transient_ON 1971 145.453 79.647 LGN_exc 30
25 transient_ON 2891 142.122 75.323 LGN_exc 30
26 transient_OFF 3232 118.538 57.991 LGN_exc 30
26 transient_OFF 3349 112.404 61.839 LGN_exc 30
26 transient_OFF 3463 115.660 52.290 LGN_exc 30
26 transient_OFF 4372 118.965 67.345 LGN_exc 30
26 transient_OFF 4826 116.612 55.008 LGN_exc 30
26 transient_OFF 4857 113.765 58.218 LGN_exc 30
26 transient_OFF 5231 112.761 59.087 LGN_exc 30
26 transient_OFF 5765 115.831 61.777 LGN_exc 30
26 transient_ON 200 128.456 57.431 LGN_exc 30
26 transient_ON 608 126.124 55.006 LGN_exc 30
26 transient_ON 1308 124.441 70.772 LGN_exc 30
26 transient_ON 1368 124.055 54.685 LGN_exc 30
26 transient_ON 2061 128.746 54.588 LGN_exc 30
26 transient_ON 2203 124.501 68.999 LGN_exc 30
26 transient_ON 2459 124.148 62.536 LGN_exc 30
26 transient_ON 2531 128.584 52.684 LGN_exc 30
27 transient_OFF 3028 139.779 54.052 LGN_exc 30
27 transient_OFF 3446 140.051 54.126 LGN_exc 30
27 transient_OFF 3902 140.327 53.953 LGN_exc 30
27 transient_OFF 4124 140.487 53.695 LGN_exc 30
27 transient_OFF 4327 141.881 50.805 LGN_exc 30
27 transient_OFF 4937 139.922 61.518 LGN_exc 30
27 transient_OFF 5604 140.392 51.496 LGN_exc 30
27 transient_OFF 5870 143.421 55.157 LGN_exc 30
27 transient_ON 82 155.010 51.678 LGN_exc 30
27 transient_ON 194 153.382 58.645 LGN_exc 30
27 transient_ON 1347 151.422 53.919 LGN_exc 30
27 transient_ON 1732 153.372 49.448 LGN_exc 30
27 transient_ON 1749 155.853 58.846 LGN_exc 30
27 transient_ON 1779 154.691 57.909 LGN_exc 30
27 transient_ON 1808 150.945 52.540 LGN_exc 30
28 transient_OFF 3011 127.371 59.338 LGN_exc 30
28 transient_OFF 3284 129.811 66.486 LGN_exc 30
