index src_type src_gid presyn_type N_syn
24 tw 174 tw_exc 1
24 tw 1519 tw_exc 1
24 tw 1788 tw_exc 1
24 tw 2329 tw_exc 1
24 tw 1973 tw_exc 1
24 tw 841 tw_exc 1
24 tw 1484 tw_exc 1
24 tw 730 tw_exc 1
24 tw 522 tw_exc 1
25 tw 669 tw_exc 1
25 tw 359 tw_exc 1
25 tw 466 tw_exc 1
25 tw 1490 tw_exc 1
25 tw 1903 tw_exc 1
25 tw 1246 tw_exc 1
25 tw 2927 tw_exc 1
25 tw 2026 tw_exc 1
25 tw 2809 tw_exc 1
25 tw 546 tw_exc 1
25 tw 1583 tw_exc 1
25 tw 1466 tw_exc 1
25 tw 1640 tw_exc 1
25 tw 1699 tw_exc 1
25 tw 1039 tw_exc 1
25 tw 226 tw_exc 1
25 tw 2443 tw_exc 1
25 tw 1488 tw_exc 1
25 tw 656 tw_exc 1
26 tw 552 tw_exc 1
26 tw 1704 tw_exc 1
26 tw 2117 tw_exc 1
26 tw 1234 tw_exc 1
26 tw 99 tw_exc 1
26 tw 350 tw_exc 1
26 tw 485 tw_exc 1
26 tw 628 tw_exc 1
26 tw 2736 tw_exc 1
26 tw 2964 tw_exc 1
26 tw 110 tw_exc 1
26 tw 1590 tw_exc 1
26 tw 1643 tw_exc 1
26 tw 1869 tw_exc 1
26 tw 1561 tw_exc 1
26 tw 1713 tw_exc 1
26 tw 1216 tw_exc 1
26 tw 761 tw_exc 1
27 tw 2513 tw_exc 1
27 tw 1362 tw_exc 1
27 tw 2356 tw_exc 1
27 tw 842 tw_exc 1
27 tw 2986 tw_exc 1
27 tw 1542 tw_exc 1
27 tw 2765 tw_exc 1
27 tw 1078 tw_exc 1
27 tw 2000 tw_exc 1
27 tw 2163 tw_exc 1
27 tw 2404 tw_exc 1
27 tw 2694 tw_exc 1
27 tw 2100 tw_exc 1
27 tw 388 tw_exc 1
27 tw 2244 tw_exc 1
27 tw 1471 tw_exc 1
27 tw 1528 tw_exc 1
27 tw 2399 tw_exc 1
27 tw 2212 tw_exc 1
27 tw 2259 tw_exc 1
28 tw 1049 tw_exc 1
28 tw 1472 tw_exc 1
28 tw 1713 tw_exc 1
28 tw 2923 tw_exc 1
28 tw 2259 tw_exc 1
28 tw 2926 tw_exc 1
28 tw 604 tw_exc 1
28 tw 2404 tw_exc 1
28 tw 1436 tw_exc 1
28 tw 1168 tw_exc 1
28 tw 2671 tw_exc 1
28 tw 2233 tw_exc 1
28 tw 119 tw_exc 1
28 tw 99 tw_exc 1
28 tw 400 tw_exc 1
28 tw 650 tw_exc 1
28 tw 388 tw_exc 1
28 tw 1772 tw_exc 1
28 tw 2694 tw_exc 1
28 tw 909 tw_exc 1
29 tw 2885 tw_exc 1
29 tw 2872 tw_exc 1
29 tw 1490 tw_exc 1
29 tw 2433 tw_exc 1
29 tw 2948 tw_exc 1
29 tw 1044 tw_exc 1
29 tw 241 tw_exc 1
29 tw 645 tw_exc 1
29 tw 2231 tw_exc 1
29 tw 335 tw_exc 1
29 tw 546 tw_exc 1
29 tw 730 tw_exc 1
29 tw 521 tw_exc 1
29 tw 1702 tw_exc 1
29 tw 613 tw_exc 1
29 tw 2446 tw_exc 1
29 tw 1689 tw_exc 1
29 tw 1690 tw_exc 1
30 tw 2265 tw_exc 1
30 tw 2694 tw_exc 1
30 tw 2926 tw_exc 1
30 tw 1472 tw_exc 1
30 tw 950 tw_exc 1
30 tw 466 tw_exc 1
30 tw 1931 tw_exc 1
30 tw 909 tw_exc 1
30 tw 1057 tw_exc 1
30 tw 2366 tw_exc 1
30 tw 1901 tw_exc 1
30 tw 1049 tw_exc 1
30 tw 1530 tw_exc 1
30 tw 2353 tw_exc 1
30 tw 557 tw_exc 1
30 tw 2404 tw_exc 1
30 tw 1333 tw_exc 1
30 tw 1460 tw_exc 1
30 tw 485 tw_exc 1
30 tw 1028 tw_exc 1
31 tw 2231 tw_exc 4
31 tw 671 tw_exc 4
31 tw 1366 tw_exc 4
31 tw 785 tw_exc 4
31 tw 2125 tw_exc 4
31 tw 2885 tw_exc 4
31 tw 1595 tw_exc 4
31 tw 1026 tw_exc 4
31 tw 1127 tw_exc 4
31 tw 601 tw_exc 4
31 tw 2871 tw_exc 4
31 tw 122 tw_exc 4
31 tw 230 tw_exc 4
31 tw 2217 tw_exc 4
31 tw 61 tw_exc 4
31 tw 179 tw_exc 4
31 tw 969 tw_exc 4
31 tw 578 tw_exc 4
31 tw 1916 tw_exc 4
31 tw 513 tw_exc 4
31 tw 797 tw_exc 4
31 tw 1490 tw_exc 4
31 tw 1787 tw_exc 4
32 tw 2999 tw_exc 1
32 tw 1997 tw_exc 1
32 tw 1727 tw_exc 1
32 tw 862 tw_exc 1
32 tw 2377 tw_exc 1
32 tw 1121 tw_exc 1
32 tw 1491 tw_exc 1
32 tw 2159 tw_exc 1
32 tw 2928 tw_exc 1
32 tw 89 tw_exc 1
32 tw 282 tw_exc 1
32 tw 1435 tw_exc 1
32 tw 2721 tw_exc 1
32 tw 406 tw_exc 1
32 tw 2663 tw_exc 1
32 tw 558 tw_exc 1
32 tw 272 tw_exc 1
32 tw 1658 tw_exc 1
32 tw 2462 tw_exc 1
32 tw 1456 tw_exc 1
32 tw 1653 tw_exc 1
33 tw 644 tw_exc 4
33 tw 30 tw_exc 4
33 tw 266 tw_exc 4
33 tw 46 tw_exc 4
33 tw 585 tw_exc 4
33 tw 782 tw_exc 4
33 tw 2952 tw_exc 4
33 tw 1181 tw_exc 4
33 tw 2703 tw_exc 4
33 tw 575 tw_exc 4
33 tw 723 tw_exc 4
33 tw 2128 tw_exc 4
33 tw 76 tw_exc 4
33 tw 1626 tw_exc 4
33 tw 2278 tw_exc 4
33 tw 887 tw_exc 4
33 tw 772 tw_exc 4
33 tw 822 tw_exc 4
33 tw 1369 tw_exc 4
33 tw 2728 tw_exc 4
33 tw 2840 tw_exc 4
33 tw 2456 tw_exc 4
33 tw 2039 tw_exc 4
34 tw 2375 tw_exc 1
34 tw 2356 tw_exc 1
34 tw 2399 tw_exc 1
34 tw 144 tw_exc 1
34 tw 1910 tw_exc 1
34 tw 1488 tw_exc 1
34 tw 2311 tw_exc 1
34 tw 557 tw_exc 1
34 tw 875 tw_exc 1
34 tw 2233 tw_exc 1
34 tw 2671 tw_exc 1
34 tw 2513 tw_exc 1
34 tw 813 tw_exc 1
34 tw 2209 tw_exc 1
34 tw 228 tw_exc 1
34 tw 2707 tw_exc 1
34 tw 1731 tw_exc 1
34 tw 1168 tw_exc 1
34 tw 1057 tw_exc 1
35 tw 1002 tw_exc 16
35 tw 1735 tw_exc 16
35 tw 187 tw_exc 16
35 tw 295 tw_exc 16
35 tw 598 tw_exc 16
35 tw 274 tw_exc 16
35 tw 161 tw_exc 16
35 tw 2704 tw_exc 16
35 tw 661 tw_exc 16
35 tw 101 tw_exc 16
35 tw 651 tw_exc 16
35 tw 1693 tw_exc 16
35 tw 1629 tw_exc 16
35 tw 1567 tw_exc 16
35 tw 1132 tw_exc 16
35 tw 2304 tw_exc 16
35 tw 720 tw_exc 16
35 tw 502 tw_exc 16
35 tw 2678 tw_exc 16
35 tw 2677 tw_exc 16
